  PID TTY          TIME CMD
 1712 ?        00:00:00 dconf-service
 1713 ?        00:00:00 indicator-sound
 1714 ?        00:00:00 indicator-print
 1715 ?        00:00:00 indicator-sessi
 1741 ?        00:00:00 evolution-sourc
 1766 ?        00:00:00 dnsmasq
 1768 ?        00:00:01 indicator-appli
 1789 ?        00:02:06 pulseaudio
 1908 ?        00:00:00 evolution-calen
 1943 ?        00:00:00 evolution-calen
 1963 ?        00:00:00 evolution-addre
 1965 ?        00:00:00 evolution-calen
 1972 ?        00:00:00 evolution-addre
 1992 ?        00:04:15 compiz
 2017 tty1     00:00:00 agetty
 2041 ?        00:00:00 gvfs-udisks2-vo
 2044 ?        00:00:01 udisksd
 2053 ?        00:00:00 gvfs-afc-volume
 2059 ?        00:00:00 gvfs-mtp-volume
 2064 ?        00:00:00 gvfs-goa-volume
 2069 ?        00:00:00 gvfs-gphoto2-vo
 2086 ?        00:00:00 gvfsd-trash
 2112 ?        00:00:00 unity-fallback-
 2118 ?        00:00:00 nm-applet
 2119 ?        00:00:02 gnome-software
 2120 ?        00:00:00 polkit-gnome-au
 2150 ?        00:00:00 fwupd
 2158 ?        00:01:22 dropbox
 2191 ?        00:00:00 notify-osd
 2204 ?        00:00:00 uuidd
 2309 ?        00:00:00 zeitgeist-datah
 2316 ?        00:00:00 sh
 2320 ?        00:00:00 zeitgeist-daemo
 2327 ?        00:00:00 zeitgeist-fts
 2454 ?        00:00:00 gconfd-2
 2512 ?        00:00:00 update-notifier
 3320 ?        00:00:00 deja-dup-monito
 4495 ?        00:00:00 cups-browsed
 5172 ?        00:00:00 kworker/5:2
 5189 ?        00:00:00 kworker/6:1
 5202 ?        00:00:00 unity-scope-hom
 5213 ?        00:00:00 unity-scope-loa
 5215 ?        00:00:00 unity-files-dae
 5714 ?        00:00:00 dhclient
 7138 ?        00:00:00 kworker/0:2
 7252 ?        00:00:00 kworker/7:1
 8267 ?        00:00:00 kworker/4:1
 9955 ?        00:07:06 chrome
 9962 ?        00:00:00 cat
 9963 ?        00:00:00 cat
 9966 ?        00:00:00 chrome
 9967 ?        00:00:00 nacl_helper
 9970 ?        00:00:00 chrome
10037 ?        00:02:00 chrome
10040 ?        00:00:04 chrome
10043 ?        00:00:16 chrome
10046 ?        00:00:29 chrome
10121 ?        00:00:12 chrome
10133 ?        00:00:00 chrome
10357 ?        00:00:00 kworker/7:2
10423 ?        00:00:00 kworker/3:0
10652 ?        00:16:51 chrome
10728 ?        00:00:03 chrome
10864 ?        00:00:00 kworker/2:0
10938 ?        00:00:00 atom
10940 ?        00:00:26 atom
10942 ?        00:00:00 atom
10965 ?        00:00:28 atom
10972 ?        00:02:48 atom
11012 ?        00:00:00 atom
11043 ?        00:00:00 linter-eslint h
11524 ?        00:00:00 kworker/5:1
12343 ?        00:00:03 gnome-terminal-
12350 pts/18   00:00:00 bash
12520 pts/18   00:00:00 make
12521 pts/18   00:00:00 realtimeloading
12637 pts/18   00:00:00 make
12638 pts/18   00:00:00 realtimeloading
12782 ?        00:00:00 kworker/4:2
12810 ?        00:00:00 kworker/1:2
13011 ?        00:00:00 kworker/0:3
13336 ?        00:00:00 kworker/u16:1
13401 pts/18   00:00:00 make
13402 pts/18   00:00:00 realtimeloading
13629 ?        00:00:00 kworker/1:1
13872 ?        00:00:00 kworker/6:2
13943 ?        00:00:00 kworker/3:2
14030 ?        00:00:00 kworker/2:1
14107 ?        00:00:00 kworker/u16:2
14127 ?        00:00:45 chrome
14129 ?        00:00:00 chrome
14390 ?        00:00:00 kworker/2:2
14397 ?        00:00:00 kworker/4:0
14398 ?        00:00:00 kworker/4:3
14450 ?        00:00:00 kworker/u16:0
14617 ?        00:00:00 gvfsd-network
14628 ?        00:00:00 kworker/5:0
14642 ?        00:00:00 gvfsd-dnssd
14676 ?        00:00:00 kworker/0:0
14728 pts/18   00:00:00 make
14729 pts/18   00:00:00 realtimeloading
14730 pts/18   00:00:00 sh
14731 pts/18   00:00:00 ps
